Order	Phase	Feature	Task	Files to create or update	Methods or classes to create first	Depends on	Acceptance or exit check	Status
14	Contract	Mapping	Create MapStruct mapper between entities and DTOs	backend/src/main/java/com/auth/mapper/UserMapper.java	toEntity(); toDto(); toDtoList(); toUserDashboardDto(); map(Role); map(LocalDateTime); resolveLoginSource()	09; 12; 13	Entity-to-response mapping is centralized and repeatable	
15	Service base	Role service	Create role service abstraction and implementation	backend/src/main/java/com/auth/service/RoleService.java; backend/src/main/java/com/auth/service/impl/RoleServiceImpl.java	findOrCreateRole(); findByName(); createRole()	10	Roles can be seeded or assigned without controller code touching repositories	
16	Service base	User service	Create user service abstraction and implementation	backend/src/main/java/com/auth/service/UserService.java; backend/src/main/java/com/auth/service/impl/UserServiceImpl.java	getUserByEmail(); findByEmail(); existsByEmail(); save(); findByResetToken(); findByRefreshToken(); findByAuthProviderAndAuthProviderUserId(); normalizeEmail()	10	User access, normalization, and save behavior are centralized	
17	Bootstrap	Seed data	Create startup seeding for roles and optional admin account	backend/src/main/java/com/auth/config/DataInitializer.java	run(); validateSeedAdminConfiguration(); findOrCreateRole(); createRole()	15; 16	App can create missing roles and optional admin user on startup	
18	Error model	Create custom exceptions and one global REST handler	backend/src/main/java/com/auth/exception/UserAlreadyExistsException.java; backend/src/main/java/com/auth/exception/ResourceNotFoundException.java; backend/src/main/java/com/auth/exception/TokenValidationException.java; backend/src/main/java/com/auth/exception/AccountLockedException.java; backend/src/main/java/com/auth/exception/RateLimitExceededException.java; backend/src/main/java/com/auth/exception/GlobalExceptionHandler.java	handleValidationExceptions(); handleBadCredentialsException(); handleUserAlreadyExistsException(); handleResourceNotFoundException(); handleTokenValidationException(); handleIllegalArgumentException(); handleException()	12; 13	API errors return predictable JSON instead of stack traces	
19	Security support	Password policy	Create reusable password rules before register and reset	backend/src/main/java/com/auth/service/support/PasswordPolicyService.java	validate(); extractEmailLocalPart()	12	Registration and password updates share one password policy	
20	Security support	Token hashing	Create hash service for OTP, reset token, and refresh token storage	backend/src/main/java/com/auth/service/support/TokenHashService.java	hash(); matches(); sha256()	03	Raw sensitive tokens are never stored in the database	
21	Security support	OTP and reset token generator	Create secure generators for OTP and reset tokens	backend/src/main/java/com/auth/service/support/OtpService.java	generateOtp(); generateResetToken()	02	You can issue 6-digit OTPs and high-entropy reset tokens	
22	Security core	UserDetails service	Create Spring Security user loader	backend/src/main/java/com/auth/security/CustomUserDetailsService.java	loadUserByUsername(); normalizeEmail(); getRequiredUser(); buildAuthorities(); buildSecurityUser()	16	Spring Security can authenticate existing users from the DB	
23	Security core	JWT utility	Create access-token generator and validator	backend/src/main/java/com/auth/security/jwt/JwtUtil.java	generateToken(); generateTokenFromEmail(); getEmailFromToken(); validateToken(); getSigningKey(); decodeSecret()	03	You can mint and validate bearer access tokens	
24	Security core	JWT filter	Create request filter that reads bearer token and fills SecurityContext	backend/src/main/java/com/auth/security/jwt/JwtAuthFilter.java	doFilterInternal(); extractBearerToken(); authenticateBearerToken()	22; 23	Protected requests authenticate from `Authorization: Bearer ...`	
25	Security core	Refresh cookie helper	Create HTTP-only refresh cookie builder	backend/src/main/java/com/auth/security/RefreshTokenCookieService.java	buildRefreshTokenCookie(); clearRefreshTokenCookie(); getCookieName(); cookieBuilder()	03	Refresh token cookie settings are centralized and reusable	
26	Security core	Security configuration	Wire filter chain, RBAC, DAO auth provider, and OAuth placeholders	backend/src/main/java/com/auth/config/SecurityConfig.java	filterChain(); authenticationManager(); authenticationProvider()	04; 05; 06; 22; 24; 25	Public and protected routes are enforced correctly	
27	Auth foundation	Service contract	Create the auth service interface before the implementation	backend/src/main/java/com/auth/service/AuthService.java	register(); verifyOtp(); login(); resetPassword(); updatePassword(); resendOtp(); changePassword()	12; 13	You have a single contract for all account lifecycle operations	
28	Auth foundation	Email phase 1	Create mail service with OTP delivery first	backend/src/main/java/com/auth/service/support/EmailService.java; backend/src/main/resources/templates/emails/otp-verification.html	sendOtpEmail(String toEmail, String otp); sendOtpEmail(String toEmail, String recipientName, String otp); sendHtmlEmail(); resolveRecipientName()	03	Registration can send OTP email without blocking the rest of the architecture	
29	Auth foundation	Token issuing	Create service for access-token issuance and refresh rotation	backend/src/main/java/com/auth/service/auth/AuthTokenService.java	issueTokens(); refreshTokens(); revokeRefreshToken(); buildAuthResponse(); generateRefreshToken(); hasRefreshTokenExpired(); clearStoredRefreshToken()	16; 20; 23	Login and refresh can issue JWT + persisted hashed refresh token	
30	Auth happy path	Registration flow	Implement register flow first	backend/src/main/java/com/auth/service/impl/AuthServiceImpl.java	register(); generateAndStoreVerificationOtp(); assignDefaultUserRole(); sendOtpEmailSafely(); normalizeEmail()	15; 16; 19; 20; 21; 27; 28	New users are saved disabled, password is encoded, OTP is hashed, ROLE_USER is assigned	
31	Auth happy path	OTP verification flow	Implement verify-OTP next	backend/src/main/java/com/auth/service/impl/AuthServiceImpl.java	verifyOtp(); getExistingUserByEmail(); ensureEmailNotYetVerified(); ensureOtpMatches(); ensureTokenNotExpired(); sendWelcomeEmailSafely()	30	Correct OTP enables account, clears OTP state, and sends welcome email	
32	Auth happy path	Login flow	Implement email-password login after register + verify work	backend/src/main/java/com/auth/service/impl/AuthServiceImpl.java	login(); authenticateLoginCredentials()	22; 23; 27; 29; 31	Verified users can authenticate and receive access token + refresh token	
33	Auth API	Auth controller phase 1	Create public auth endpoints for register, verify, and login	backend/src/main/java/com/auth/controller/AuthController.java	register(); verifyOtp(); login(); setRefreshTokenCookie()	30; 31; 32	Frontend or Postman can hit the first three auth APIs successfully	
34	Auth API	Auth controller phase 2	Add refresh and logout endpoints once token rotation exists	backend/src/main/java/com/auth/controller/AuthController.java	refreshToken(); logout(); resolveRefreshTokenCandidates(); findRefreshTokensInCookies()	25; 29	Refresh rotates refresh token and logout clears stored token + cookie	
35	Auth support	Email phase 2	Expand email service for all remaining auth notifications	backend/src/main/java/com/auth/service/support/EmailService.java; backend/src/main/resources/templates/emails/password-reset-request.html; backend/src/main/resources/templates/emails/welcome-account.html; backend/src/main/resources/templates/emails/password-changed-confirmation.html; backend/src/main/resources/templates/emails/account-locked-alert.html	sendPasswordResetEmail(); sendWelcomeEmail(); sendPasswordChangedConfirmationEmail(); sendAccountLockedAlertEmail(); buildPasswordResetHtmlBodyFromTemplate(); buildWelcomeHtmlBodyFromTemplate(); buildPasswordChangedHtmlBodyFromTemplate(); buildAccountLockedHtmlBodyFromTemplate()	28	Every account lifecycle event has an email method and HTML template	
36	Auth recovery	Forgot password request	Implement reset-password request flow	backend/src/main/java/com/auth/service/impl/AuthServiceImpl.java	resetPassword(); generateAndStoreResetToken(); sendResetEmailSafely()	20; 21; 27; 35	Known users get reset link, unknown users still receive generic success response	
37	Auth recovery	Update password from token	Implement password update via reset token	backend/src/main/java/com/auth/service/impl/AuthServiceImpl.java	updatePassword(); clearStoredResetToken(); sendPasswordChangedEmailSafely()	19; 20; 36	Token must be valid and not expired; password updates and reset token is cleared	
38	Auth recovery	Resend OTP	Implement resend-OTP flow after verification logic exists	backend/src/main/java/com/auth/service/impl/AuthServiceImpl.java	resendOtp()	30; 31	Unverified users can receive a fresh OTP and verified users cannot	
39	Auth recovery	Authenticated change password	Implement change-password for logged-in users	backend/src/main/java/com/auth/service/impl/AuthServiceImpl.java	changePassword()	19; 32	Current password is checked and new password follows the policy	
40	Portal	User portal service	Create user-facing service for dashboard and profile	backend/src/main/java/com/auth/service/UserPortalService.java; backend/src/main/java/com/auth/service/impl/UserPortalServiceImpl.java	getDashboard(); getProfile()	14; 16; 11	Authenticated users can fetch a dashboard payload and profile DTO	
41	Portal	User controller	Create protected user endpoints	backend/src/main/java/com/auth/controller/UserController.java	getDashboard(); getProfile(); changePassword()	26; 39; 40	ROLE_USER and ROLE_ADMIN can access profile/dashboard and change password	
42	Portal	Admin service	Create admin dashboard and user listing service	backend/src/main/java/com/auth/service/AdminService.java; backend/src/main/java/com/auth/service/impl/AdminServiceImpl.java	getDashboard(); getUsers(); buildUserSpecification(); normalizeRoleName(); resolveSortField(); normalizePage(); normalizePageSize(); resolveSortDirection(); buildSearchSpecification(); andSpecification(); isAllowedSortField()	10; 11; 14	Admin metrics and paginated filtered user listing work	
43	Portal	Admin controller	Create protected admin endpoints	backend/src/main/java/com/auth/controller/AdminController.java	getDashboard(); getAllUsers()	26; 42	ROLE_ADMIN can access dashboard and filtered user list endpoints	
44	Hardening	Rate limiting base	Create Redis-backed rate-limit helper	backend/src/main/java/com/auth/service/support/RateLimitService.java	consume(); RateLimitDecision record	03	Request counters with TTL work and fail open if Redis is unavailable	
45	Hardening	Abuse protection	Create auth abuse orchestration service after happy path auth is stable	backend/src/main/java/com/auth/service/auth/AuthAbuseProtectionService.java	guardLoginAttempt(); recordFailedLogin(); clearLoginFailures(); guardOtpVerification(); recordFailedOtp(); clearOtpFailures(); guardResendOtp(); guardResetPassword(); enforce(); assertLoginNotLocked(); assertOtpNotLocked(); resolveClientIp(); applyFailedLoginAttempt(); sendAccountLockEmailSafely()	16; 35; 44	Login, OTP, resend, and reset flows have per-IP and per-email protection plus account locks	
46	Hardening	Wire protection	Update auth flows and error handler to expose lock and throttle behavior	backend/src/main/java/com/auth/service/impl/AuthServiceImpl.java; backend/src/main/java/com/auth/exception/GlobalExceptionHandler.java	Call guardLoginAttempt(); recordFailedLogin(); clearLoginFailures(); guardOtpVerification(); recordFailedOtp(); clearOtpFailures(); guardResendOtp(); guardResetPassword(); add handleAccountLockedException(); handleRateLimitExceededException()	18; 45	Clients receive 423 or 429 with `Retry-After` and the auth flows enforce protection	
47	OAuth2	Provisioning service	Create local user provisioning for Google, GitHub, Apple, and LinkedIn	backend/src/main/java/com/auth/service/auth/OAuth2UserProvisioningService.java	loadOrCreateUser(); createNewOAuthUser(); updateExistingUserIfNeeded(); extractEmail(); extractDisplayName(); normalizeProvider(); extractProviderUserId(); buildProviderDerivedEmail()	15; 16; 19	OAuth logins can create or link local users safely	
48	OAuth2	Success and failure handlers	Create handlers for OAuth callback outcomes	backend/src/main/java/com/auth/security/oauth2/OAuth2AuthenticationSuccessHandler.java; backend/src/main/java/com/auth/security/oauth2/OAuth2AuthenticationFailureHandler.java	initializeRedirectTarget(); onAuthenticationSuccess(); onAuthenticationFailure(); resolveErrorMessage(); resolveRootCause()	25; 29; 35; 47	Successful OAuth login issues refresh cookie and redirects; failures redirect with an error	
49	OAuth2	LinkedIn edge case	Create LinkedIn authorization request resolver	backend/src/main/java/com/auth/security/oauth2/LinkedInAuthorizationRequestResolver.java	resolve(HttpServletRequest); resolve(HttpServletRequest, String); customizeForLinkedIn(); isLinkedInRequest(); removeNonce()	26	LinkedIn OIDC flow works without nonce mismatch issues	
50	OAuth2	Wiring and provider config	Finish OAuth2 registrations and security wiring	backend/src/main/java/com/auth/config/SecurityConfig.java; backend/src/main/resources/application.properties.example	Add `oauth2Login()` wiring, success handler, failure handler, LinkedIn resolver, and provider registration properties	48; 49	`/oauth2/authorization/{provider}` starts provider auth and callback completes local sign-in	
51	Testing	Auth tests	Write unit tests for controller and core auth/token flows	backend/src/test/java/com/auth/controller/AuthControllerTest.java; backend/src/test/java/com/auth/service/impl/AuthServiceImplTest.java; backend/src/test/java/com/auth/service/auth/AuthTokenServiceTest.java	Test refresh candidate resolution, logout cookie clearing, register, login failure, reset generic response, token validation, refresh expiry handling	33; 34; 36; 37; 39	High-risk auth flows are covered before frontend integration	
52	Testing	Service and OAuth tests	Write tests for security user loading, user service, admin service, and OAuth provisioning	backend/src/test/java/com/auth/security/CustomUserDetailsServiceTest.java; backend/src/test/java/com/auth/service/impl/UserServiceImplTest.java; backend/src/test/java/com/auth/service/impl/AdminServiceImplTest.java; backend/src/test/java/com/auth/service/auth/OAuth2UserProvisioningServiceTest.java; backend/src/test/resources/mockito-extensions/org.mockito.plugins.MockMaker	Test email normalization, authority mapping, repository-driven user lookup, paging normalization, invalid role filter, OAuth fallback emails, provider linking	42; 47	Security, admin, and OAuth edge cases are covered	
53	Delivery	Containerization	Create backend container and local stack orchestration	backend/Dockerfile; backend/docker-compose.yaml	Wire postgres, redis, app, optional admin tools, environment variables, health ordering	03; 50	Backend can run reproducibly with PostgreSQL and Redis	
54	Verification	Green build gate	Run compile and test before connecting frontend	backend	Run `mvn -q -DskipTests compile`; run `mvn -q test`; smoke: register -> verify OTP -> login -> refresh -> logout -> reset password -> user profile -> admin users	51; 52; 53	Build is green and major backend flows work end to end	
